Chinese,Pinyin,English,Vietnamese
"video_url","https://www.facebook.com/reel/842443448805355","video"
"1. 读书世界就在眼前","Dúshū shìjiè jiù zài yǎnqián","When you read, the world is right before your eyes.","Đọc sách, thế giới ở ngay trước mắt"
"读","dú","To read.","Đọc."
"书","shū","Book.","Sách."
"世界","shìjiè","World.","Thế giới."
"就","jiù","Exactly / Right (emphasizes immediacy). [Note: Mortar]","Liền / Ngay (nhấn mạnh tính tức thì)."
"在","zài","At / In (indicates location). [Note: Mortar]","Ở / Tại (chỉ vị trí)."
"眼前","yǎnqián","Before one's eyes / In front of you.","Trước mắt."
"2. 不读书眼前便是世界","Bù dúshū yǎnqián biàn shì shìjiè","If you don't read, the world only extends as far as your eyes can see.","Không đọc sách, tầm mắt đến đâu, thế giới chỉ đến đó"
"不","bù","Not. [Note: Mortar]","Không."
"读","dú","Read.","Đọc."
"书","shū","Book.","Sách."
"眼前","yǎnqián","Before your eyes / What you see now.","Trước mắt / Những gì thấy hiện tại."
"便","biàn","Then / Simply (similar to 就). [Note: Mortar]","Thì / Liền (tương tự 就)."
"是","shì","Is. [Note: Mortar]","Là."
"世界","shìjiè","World.","Thế giới."
"3. 读书不一定能让你一夜暴富","Dúshū bù yīdìng néng ràng nǐ yīyè bàofù","Reading may not necessarily make you rich overnight.","Đọc sách chưa chắc đã giúp bạn một đêm trở nên giàu có"
"读书","Dúshū","Reading.","Đọc sách."
"不一定","bù yīdìng","Not necessarily.","Chưa chắc."
"能","néng","Can / Able to. [Note: Mortar]","Có thể."
"让","ràng","Make / Let. [Note: Mortar]","Khiến / Để."
"你","nǐ","You.","Bạn."
"一夜","yīyè","One night / Overnight.","Một đêm."
"暴富","bàofù","To get rich suddenly.","Bỗng chốc giàu có."
"4. 功成名就","gōngchéngmíngjiù","To achieve success and fame. — Note: This is a four-character idiom (Chengyu).","Công thành danh toại — thành ngữ bốn chữ nghĩa là đạt được công danh sự nghiệp."
"功","gong","Achievement / Work.","Công lao / Thành tựu."
"成","chéng","Success / Accomplish.","Thành / Đạt được."
"名","míng","Name / Reputation.","Danh / Tiếng tăm."
"就","jiù","To achieve.","Đạt được."
"5. 但可以让你出言有尺","dàn kěyǐ ràng nǐ chūyán yǒu chǐ","But it can make you speak with measure and restraint.","Nhưng có thể khiến bạn nói năng có chừng mực"
"但","dàn","But. [Note: Mortar]","Nhưng."
"可以","kěyǐ","Can / May. [Note: Mortar]","Có thể."
"让","ràng","Make / Let. [Note: Mortar]","Khiến / Để."
"你","nǐ","You.","Bạn."
"出言","chūyán","To speak.","Nói / Phát ngôn."
"有","yǒu","To have.","Có."
"尺","chǐ","Ruler / Measure. (Meaning: speaking with restraint/wisdom).","Thước đo (ý chỉ nói năng có chừng mực)."
"6. 嬉闹有度，说话有德，做事有余","xīnào yǒu dù, shuōhuà yǒu dé, zuòshì yǒuyú","Play with limits, speak with virtue, and act with room to spare.","Vui chơi có giới hạn, nói chuyện có đạo đức, làm việc chừa đường lui"
"嬉闹","xīnào","Playing / Frolicking.","Vui đùa / Nô đùa."
"有","yǒu","Have.","Có."
"度","dù","Limit / Degree.","Giới hạn / Mức độ."
"说话","shuōhuà","Speaking.","Nói chuyện."
"德","dé","Virtue / Morality.","Đức / Đạo đức."
"做事","zuòshì","Doing things / Working.","Làm việc."
"有余","yǒuyú","Having a surplus / Doing more than enough (with ease).","Có dư / Làm việc còn chừa đường lui."
"7. 读书不光是为了一纸文凭","Dúshū bùguāng shì wèile yī zhǐ wénpíng","Reading is not only for a diploma.","Đọc sách không chỉ vì một tấm bằng"
"读书","Dúshū","Reading.","Đọc sách."
"不光","bùguāng","Not only.","Không chỉ."
"是","shì","Is. [Note: Mortar]","Là."
"为了","wèile","For / In order to. [Note: Mortar]","Vì / Để."
"一","yī","One.","Một."
"纸","zhǐ","Piece of paper (Measure word).","Tờ (lượng từ cho giấy)."
"文凭","wénpíng","Diploma.","Bằng cấp."
"8. 也不单单是追名逐利","yě bù dāndān shì zhuīmíngzhúlì","Nor is it simply about chasing fame and profit.","Cũng không phải chỉ là theo đuổi danh lợi"
"也","yě","Also. [Note: Mortar]","Cũng."
"不","bù","Not.","Không."
"单单","dāndān","Simply / Merely.","Chỉ / Đơn thuần."
"是","shì","Is. [Note: Mortar]","Là."
"追名逐利","zhuīmíngzhúlì","Chasing fame and profit (Chengyu).","Theo đuổi danh lợi (thành ngữ)."
"9. 而是为了让你成为一个有温度","ér shì wèile ràng nǐ chéngwéi yīgè yǒu wēndù","But rather to help you become someone with warmth,","Mà là để bạn trở thành một người có tấm lòng ấm áp"
"而是","ér shì","But rather. [Note: Mortar]","Mà là."
"为了","wèile","For / In order to. [Note: Mortar]","Vì / Để."
"让","ràng","Let / Make. [Note: Mortar]","Khiến / Để."
"你","nǐ","You.","Bạn."
"成为","chéngwéi","To become.","Trở thành."
"一个","yīgè","A / One (Measure word for person).","Một (lượng từ chỉ người)."
"有","yǒu","Have.","Có."
"温度","wēndù","Temperature (Metaphor for 'warmth' or 'kindness').","Nhiệt độ (ẩn dụ cho 'sự ấm áp')."
"10. 懂情趣，会思考的人","dǒng qíngqù, huì sīkǎo de rén","Someone who appreciates beauty and knows how to think.","Biết yêu cái đẹp, biết suy nghĩ"
"懂","dǒng","To understand.","Hiểu / Biết."
"情趣","qíngqù","Interest / Appeal / Sentiment.","Thú vị / Tình cảm thẩm mỹ."
"会","huì","Know how to / Can. [Note: Mortar]","Biết (cách) / Có thể."
"思考","sīkǎo","To think deeply.","Suy nghĩ sâu sắc."
"的","de","Linking particle (connecting adjectives to 'person'). [Note: Mortar]","Trợ từ kết nối (nối tính từ với 'người')."
"人","rén","Person.","Người."
"11. 纵使人生起落无常","Zòngshǐ rénshēng qǐluò wúcháng","Even if life's ups and downs are unpredictable,","Dù cuộc đời thăng trầm vô thường"
"纵使","Zòngshǐ","Even if / Even though.","Dù cho / Cho dù."
"人生","rénshēng","Life.","Cuộc đời / Nhân sinh."
"起落","qǐluò","Ups and downs (Rise and fall).","Thăng trầm."
"无常","wúcháng","Impermanent / Constant change.","Vô thường / Biến đổi không ngừng."
"12. 也能处变不惊，从容不慌","yě néng chǔbiànbùjīng, cóngróng bù huāng","You can still remain calm amid change, composed and unhurried.","Vẫn có thể bình tĩnh đối diện, điềm nhiên, không hoảng"
"也","yě","Also / Still. [Note: Mortar]","Vẫn / Cũng."
"能","néng","Can / Able to. [Note: Mortar]","Có thể."
"处变不惊","chǔbiànbùjīng","Remaining calm in the face of change (Chengyu).","Bình tĩnh trước biến cố (thành ngữ)."
"从容","cóngróng","Calm / Unhurried.","Điềm tĩnh / Ung dung."
"不","bù","Not. [Note: Mortar]","Không."
"慌","huāng","Flustered / Panicked.","Hoảng loạn / Bối rối."
"13. 就算身处低谷彷徨","Jiùsuàn shēn chǔ dīgǔ pánghuáng","Even if you find yourself lost in a low point,","Dù có ở trong vực sâu mông lung vô định"
"就算","Jiùsuàn","Even if.","Dù cho / Cho dù."
"身处","shēn chǔ","To find oneself in / Situated in.","Đang ở trong / Rơi vào."
"低谷","dīgǔ","Trough / Low point / Valley.","Vực sâu / Điểm thấp nhất."
"彷徨","pánghuáng","Hesitant / To pace back and forth (feeling lost).","Bối rối / Do dự (cảm giác lạc lối)."
"14. 也能自愈自渡，风骨坦荡","yě néng zì yù zì dù, fenggǔ tǎndàng","You can still heal yourself and carry on, dignified and open-hearted.","Vẫn có thể tự chữa lành, tự vượt qua, phong thái hiên ngang, đường hoàng"
"也","yě","Also.","Vẫn / Cũng."
"能","néng","Can.","Có thể."
"自愈","zì yù","Self-healing.","Tự chữa lành."
"自渡","zì dù","Self-salvation (crossing the river by oneself).","Tự cứu mình (tự vượt qua)."
"风骨","fēnggǔ","Strength of character.","Khí phách / Cốt cách."
"坦荡","tǎndàng","Magnanimous / Open-hearted.","Quang minh lỗi lạc / Thẳng thắn, rộng lượng."
"15. 读书是平凡生活里最好的救赎","Dúshū shì píngfán shēnghuó lǐ zuì hǎo de jiùshú","Reading is the best redemption in an ordinary life.","Đọc sách là cứu cánh tốt nhất trong cuộc sống tầm thường"
"读书","Dúshū","Reading.","Đọc sách."
"是","shì","Is. [Note: Mortar]","Là."
"平凡","píngfán","Ordinary / Common.","Bình thường / Tầm thường."
"生活","shēnghuó","Life.","Cuộc sống."
"里","lǐ","Inside / In. [Note: Mortar]","Trong."
"最好","zuì hǎo","Best.","Tốt nhất."
"的","de","Linking particle. [Note: Mortar]","Trợ từ kết nối."
"救赎","jiùshú","Redemption.","Cứu rỗi / Cứu cánh."
"16. 更是普通人行走人生的底气","gèng shì pǔtōng rén xíngzǒu rénshēng de dǐqì","It's even more the quiet confidence that carries ordinary people through life.","Càng là nền tảng vững chắc cho những người bình thường bước đi trên đường đời"
"更","gèng","Even more. [Note: Mortar]","Càng / Hơn nữa."
"是","shì","Is. [Note: Mortar]","Là."
"普通人","pǔtōng rén","Ordinary person.","Người bình thường."
"行走","xíngzǒu","To walk.","Đi / Bước đi."
"人生","rénshēng","Life.","Cuộc đời."
"的","de","Linking particle. [Note: Mortar]","Trợ từ kết nối."
"底气","dǐqì","Confidence / Internal strength.","Sự tự tin / Nội lực."
