Chinese,Pinyin,English
"1. 我希望你记住一句话","Wǒ xīwàng nǐ jìzhù yījù huà","[Vietnamese: Tôi hy vọng bạn ghi nhớ một câu này] — English: I hope you remember one sentence."
"我","Wǒ","I."
"希望","xīwàng","To hope / To wish."
"你","nǐ","You."
"记住","jìzhù","To remember / To keep in mind."
"一","yī","One."
"句","jù","Measure word for sentences or phrases. [Note: Mortar]"
"话","huà","Word / Speech / Saying."
"2. 如果你做事的动力来自外在","Rúguǒ nǐ zuòshì de dònglì láizì wàizài","[Vietnamese: Nếu động lực làm việc của bạn đến từ bên ngoài...] — English: If your motivation for doing things comes from the outside..."
"如果你","Rúguǒ nǐ","If you."
"如果","Rúguǒ","If. [Note: Mortar]"
"做事","zuòshì","To do things / To work."
"的","de","Linking particle (links 'doing things' to 'motivation'). [Note: Mortar]"
"动力","dònglì","Motivation / Driving force."
"来自","láizì","To come from."
"外在","wàizài","External / Outside."
"3. 你永远不会有耐心","nǐ yǒngyuǎn bù huì yǒu nàixīn","[Vietnamese: ...bạn sẽ không bao giờ có được sự kiên nhẫn.] — English: ...you will never have patience."
"永远","yǒngyuǎn","Forever / Always."
"不","bù","Not. [Note: Mortar]"
"会","huì","Will (indicates a future state or likelihood). [Note: Mortar]"
"有","yǒu","To have."
"耐心","nàixīn","Patience."
"4. 如果你做事的动力来自内心","Rúguǒ nǐ zuòshì de dònglì láizì nèixīn","[Vietnamese: Nếu động lực làm việc của bạn đến từ nội tâm...] — English: If your motivation for doing things comes from within..."
"内心","nèixīn","Inner heart / Within."
"5. 那你永远不会有对手","nà nǐ yǒngyuǎn bù huì yǒu duìshǒu","[Vietnamese: ...vậy thì bạn sẽ không bao giờ có đối thủ.] — English: ...then you will never have a rival."
"那","nà","Then / In that case. [Note: Mortar]"
"对手","duìshǒu","Opponent / Rival / Match."
"💡 Spotlight: 如果... 那...","Rúguǒ... nà...","[Vietnamese: Cấu trúc Nếu... Thì...] — In Chinese, when you use 如果 (If), it is very common to start the second half of the sentence with 那 or 那么 (Then). Even though we sometimes skip 'then' in English/Vietnamese, using 那 makes the transition smooth and complete."
